window_start,n_events,susc_fixed,susc_active
0.0,16034,0.7725913405278897,0.022358859698155393
297.5,15513,0.7750617604992849,0.040488075429839156
595.0,16822,0.7763619815368613,0.04284919309961046
892.5,16814,0.7849434403848654,0.04723502304147465
1190.0,17930,0.7837732414510467,0.04862700228832952
1487.5,17603,0.7710310752827981,0.03980370774263904
1785.0,20763,0.7458067871538161,0.023964053919121316
2082.5,28273,0.7190222337797425,0.029200359389038633
2380.0,32655,0.7169418801196203,0.025078369905956112
2677.5,30209,0.7315043557404759,0.020862968231389285
2975.0,24488,0.7307242231179301,0.019412878787878788
3272.5,26313,0.7209725653361071,0.023657870791628753
3570.0,33046,0.7025094266025225,0.015913978494623657
3867.5,36853,0.712391106488103,0.021238938053097345
4165.0,31956,0.7279937589390196,0.022429906542056073
4462.5,25881,0.726433493693928,0.02411873840445269
4760.0,28356,0.7153816148745287,0.025378450578806767
5057.5,33376,0.7040696918476141,0.017271157167530225
5355.0,35421,0.713821349629437,0.020035618878005344
5652.5,29909,0.731114289429203,0.026823529411764704
5950.0,25080,0.7205824990248342,0.009220839096357769
6247.5,29495,0.7028994929137954,0.013810962451445835
6545.0,32070,0.701209205564946,0.0103359173126615
6842.5,32563,0.7266935379014432,0.026401111625752663
7140.0,27279,0.7383955272396308,0.021876519202722412
7437.5,18730,0.7538681575867897,0.022715539494062985
7735.0,17662,0.7627096606423092,0.01723209477652127
8032.5,16529,0.7736315173579509,0.025195968645016796
8330.0,17153,0.782212976205955,0.04230989136649514
8627.5,17415,0.7781822909894682,0.038873239436619716
8925.0,16054,0.7775321804706801,0.03223981900452489
9222.5,16798,0.7677805226888571,0.0176017601760176
9520.0,16620,0.7725913405278897,0.022358859698155393
9817.5,18845,0.7647900143024314,0.013631406761177753
10115.0,22546,0.7404758808997529,0.022048015678588925
10412.5,26626,0.7144714601482252,0.017889087656529516
10710.0,32631,0.7028994929137954,0.017204301075268817
11007.5,37672,0.7014692497724613,0.006920415224913495
11305.0,34438,0.7166818359121051,0.020233812949640287
11602.5,27687,0.7192822779872579,0.02174898051653829
11900.0,30656,0.7039396697438565,0.028997867803837955
12197.5,35133,0.6935379014432453,0.015455304928989139
12495.0,39576,0.701209205564946,0.008628127696289905
12792.5,37020,0.7155116369782863,0.02408563782337199
13090.0,30417,0.7160317253933168,0.023692445239159587
13387.5,34317,0.6908074372643349,0.011637572734829594
13685.0,38999,0.6882069951891822,0.011541632316570486
13982.5,41768,0.6989988298010662,0.01195049082373026
